airline,from,to,day,month,year,duration,age,gender,reason,stay,transit,connection,wait,ticket,checked_bags,carry_on
Volaris,SJC,JFK,21,4,2015,257,3,male,On vacation/Pleasure,Hotel,Public Transportation,False,0,Economy,0,True
Delta Airlines,JFK,GDL,24,1,2014,772,56,undisclosed,On vacation/Pleasure,Hotel,Public Transportation,False,0,Economy,0,False
Aeromexico,JFK,PDX,3,5,2013,297,89,undisclosed,Business/Work,Hotel,Car rental,False,0,First Class,1,False
Alaska,PDX,SJC,26,10,2017,676,58,male,On vacation/Pleasure,Short-term homestay,,True,576,Economy,2,False
American Airlines,JFK,PDX,26,6,2016,866,45,unspecified,On vacation/Pleasure,Short-term homestay,,True,557,Business,2,False
Alaska,PDX,LAX,22,3,2020,129,14,male,On vacation/Pleasure,Hotel,Mobility as a service,False,0,First Class,2,False
Volaris,SJC,JFK,25,6,2014,697,68,female,On vacation/Pleasure,Friend/Family,,True,178,Economy,0,False
Volaris,GDL,JFK,2,1,2019,161,64,undisclosed,Business/Work,Hotel,,True,378,Economy,2,False
Alaska,PDX,SJC,24,1,2015,928,76,male,Business/Work,Friend/Family,,True,275,Economy,2,True
Delta Airlines,LAX,JFK,19,6,2019,180,84,male,Business/Work,Home,Public Transportation,False,0,Business,1,True
Aeromexico,JFK,PDX,12,6,2014,922,64,undisclosed,Back Home,Home,Car rental,False,0,Economy,2,False
Delta Airlines,JFK,PDX,5,11,2013,74,44,unspecified,Business/Work,Hotel,,True,642,Economy,3,True
Volaris,SJC,GDL,16,6,2021,963,39,female,Back Home,Home,Public Transportation,False,0,First Class,0,False
Alaska,SJC,JFK,17,3,2015,165,63,unspecified,Back Home,Home,Own car,False,0,First Class,0,False
Alaska,SJC,LAX,17,1,2022,320,7,male,Back Home,Home,Public Transportation,False,0,Business,3,False
Alaska,PDX,GDL,11,5,2014,930,60,male,On vacation/Pleasure,Home,,True,518,First Class,2,True
Delta Airlines,GDL,SJC,12,2,2020,899,24,female,Back Home,Home,Own car,False,0,Economy,3,True
Delta Airlines,PDX,JFK,4,9,2018,736,49,female,Business/Work,Friend/Family,Public Transportation,False,0,First Class,3,False
Alaska,SJC,JFK,11,9,2019,707,67,male,On vacation/Pleasure,Hotel,,True,562,Business,2,False
Alaska,JFK,SJC,7,10,2021,75,25,male,On vacation/Pleasure,Short-term homestay,,True,57,Business,0,False
Aeromexico,LAX,PDX,23,8,2016,380,19,undisclosed,Business/Work,Home,,True,630,Economy,3,False
Delta Airlines,PDX,LAX,11,3,2017,894,24,female,On vacation/Pleasure,Friend/Family,,True,693,Business,0,False
